"date","HUC8","precip_mean"
2000-12-08,18040001,0.0461645100085847
2000-06-16,18040001,0.00049168208197392571
2002-03-12,18040001,0.21217375131459079
2003-01-06,18040001,0.012249537986787606
2003-02-26,18040001,2.0746099788625867
2003-11-19,18040001,0.074382624792041691
2003-11-11,18040001,0.13205545251718226
2003-01-10,18040001,6.9450388164319738
2004-01-27,18040001,0.055698706288374381
2004-01-07,18040001,0.713979665296928
2005-04-17,18040001,0.1591275413397979
2005-06-12,18040001,0.023155268067373558
2006-12-03,18040001,0.0323364141850358
2006-05-20,18040001,0.011293900164159258
2006-02-28,18040001,14.756404801349319
2008-01-27,18040001,5.6143290251588143
2009-12-29,18040001,1.7550351188936433
2009-12-27,18040001,3.5555600786440462
2010-05-18,18040001,1.4600979647955923
2010-10-09,18040001,0.010242144316400446
2010-03-08,18040001,0.02958595190780813
2011-06-29,18040001,6.03145286159903
2011-05-18,18040001,6.8238114631440467
2012-06-04,18040001,0.02457855817433206
2012-02-13,18040001,4.1161275353978164
2014-04-25,18040001,1.0341109042776779
2014-02-16,18040001,0.70862476962860466
2015-07-09,18040001,0.00013493530300760898
2016-12-13,18040001,0.00048243992229451862
2016-05-29,18040001,0.0088817006757727166
2016-04-29,18040001,0.00066173750999281927
2017-02-10,18040001,13.954787426206401
2017-01-23,18040001,16.035238456263357
2017-11-17,18040001,12.033558238538705
2018-12-25,18040001,5.8751404787923347
2018-10-02,18040001,0.0638447323026025
2018-12-02,18040001,4.7302458381586714
2018-03-02,18040001,26.21788905067935
2001-02-14,18040001,0.030162661602546784
2001-11-11,18040001,6.9533345606038184
2001-11-24,18040001,4.1299574782186612
2007-10-14,18040001,0.0079075785288363482
2007-11-12,18040001,2.4820665467841216
2019-03-07,18040001,4.8244048064770846
2020-03-25,18040001,3.8932181176989404
2013-11-22,18040001,0.90930869061239039
2000-12-05,18040001,0.00019778187951338135
2000-01-12,18040001,1.8014011079625798
2000-01-17,18040001,4.05721072495145
2000-05-16,18040001,4.920746761658215
2000-02-12,18040001,13.013131256244542
2002-10-02,18040001,0.030565619236288678
2002-02-27,18040001,0.017251386403367805
2002-12-20,18040001,14.736406665853137
2003-04-08,18040001,0.11632347416219636
2003-02-17,18040001,2.4994879847626117
2003-12-16,18040001,0.066600739730172678
2003-05-06,18040001,0.036547135098625616
2004-10-23,18040001,0.029179297605367568
2004-01-15,18040001,0.033290203545387184
2005-01-06,18040001,0.21893160762984076
2005-03-25,18040001,0.24598336536669685
2005-04-02,18040001,0.0036857670767821539
2005-05-19,18040001,0.02065434372276341
2006-03-27,18040001,0.17606839140474329
2006-06-18,18040001,0.0744491687228268
2008-12-09,18040001,0.0243715341469745
2008-11-05,18040001,0.31658410283439081
2008-11-04,18040001,3.7934658030373392
2008-01-23,18040001,18.11080405672465
2009-05-01,18040001,0.023192236617434768
2009-12-22,18040001,5.4177837471741013
2009-06-01,18040001,3.6968578465709734e-06
2010-04-24,18040001,0.0052347505024450073
2010-12-31,18040001,0.011354898473991551
2010-01-31,18040001,0.10103881738708967
2010-12-15,18040001,6.7601183117427563
2011-03-21,18040001,35.980951857434682
2011-06-30,18040001,1.8217596984541584
2012-11-09,18040001,2.5402957484153643
2014-05-23,18040001,0.070155268505968066
2015-03-24,18040001,7.7634010043911228e-05
2015-11-03,18040001,28.549818869218818
2016-02-03,18040001,0.0688022184340618
2016-03-21,18040001,0.095092421275986827
2016-12-12,18040001,0.019395563839254764
2018-01-14,18040001,0.00098521257070704246
2018-04-15,18040001,0.0017375230895486176
2018-03-23,18040001,16.626016634889972
2018-12-06,18040001,2.9558299438625069
2001-12-03,18040001,17.742574867281135
2001-02-17,18040001,0.42377633962917044
2007-12-19,18040001,12.983545289683034
2007-10-30,18040001,4.14257854772749
2019-12-01,18040001,18.324883579106064
2019-03-02,18040001,6.39943253847489
2019-12-16,18040001,4.8059150714310141e-05
