"date","HUC8","tmean"
2000-06-10,18040001,17.1910425974263
2000-01-24,18040001,10.675573156718864
2000-04-26,18040001,16.6964805605235
2000-03-09,18040001,8.9928638908322185
2000-04-19,18040001,11.201655547017301
2000-10-19,18040001,18.512354627361997
2002-04-28,18040001,11.497024997268561
2002-01-20,18040001,4.5638435249162974
2002-09-20,18040001,24.735148163194996
2002-12-11,18040001,9.7311212897024948
2002-07-23,18040001,22.896724074858209
2002-12-15,18040001,12.315033325663306
2002-03-12,18040001,12.427778685092917
2002-06-05,18040001,24.229657406277127
2002-06-21,18040001,22.355907403098218
2002-02-09,18040001,8.79050555276097
2003-05-06,18040001,13.586715734115346
2003-01-07,18040001,7.7603990821685214
2003-01-28,18040001,11.88274073335859
2003-05-28,18040001,24.190457419995905
2003-10-08,18040001,22.148085205643259
2003-07-11,18040001,26.773719462641964
2004-05-30,18040001,17.622611106766616
2004-05-25,18040001,16.388715766094361
2004-10-28,18040001,9.2741666754914682
2004-11-16,18040001,11.394296299748946
2004-06-14,18040001,23.368884257917045
2004-06-18,18040001,22.231139789687255
2005-06-19,18040001,17.080308345953618
2005-06-22,18040001,20.706694457266078
2005-06-27,18040001,21.076584265850215
2005-02-27,18040001,11.354542598459455
2005-11-22,18040001,13.518729634624384
2005-07-08,18040001,24.844458320405767
2006-09-01,18040001,24.923081508389227
2006-03-21,18040001,7.2173194316177041
2006-08-02,18040001,21.658400013711706
2006-10-31,18040001,12.320595387617736
2006-03-25,18040001,13.741690744294054
2006-11-18,18040001,15.870965720989082
2006-04-01,18040001,9.98292777074708
2006-08-24,18040001,25.180880580125059
2006-05-21,18040001,19.273119448732462
2006-08-06,18040001,22.464063904903558
2006-04-30,18040001,18.443346279638792
2006-12-17,18040001,4.6388453720637655
2006-07-19,18040001,30.399774996439579
2008-03-27,18040001,11.874323159180314
2008-03-12,18040001,14.291257402190459
2008-06-09,18040001,22.305004679715182
2008-08-11,18040001,24.033890737427583
2008-06-20,18040001,25.560663869645865
2009-06-21,18040001,19.2643833284025
2009-08-14,18040001,25.875999999046329
2009-11-17,18040001,10.605217582005276
2009-09-28,18040001,27.465724090293588
2009-05-10,18040001,20.625620384128052
2009-10-27,18040001,18.615053696102571
2009-03-22,18040001,13.105230557918542
2009-07-21,18040001,28.857942555568854
2009-05-19,18040001,26.698324094878284
2009-05-31,18040001,21.748175004676529
2009-03-20,18040001,16.267313891869961
2010-12-11,18040001,13.894783325107008
2010-07-15,18040001,25.771121318252003
2010-04-13,18040001,9.3627564826773266
2010-06-26,18040001,21.706469431629881
2010-07-18,18040001,29.300126830736804
2010-10-31,18040001,12.713699051296269
2011-11-22,18040001,7.746587958514553
2011-11-06,18040001,7.6112388923039855
2011-06-05,18040001,14.280841678160215
2011-04-05,18040001,14.782275011142103
2012-07-10,18040001,25.937048137629475
2012-05-22,18040001,22.258862053906462
2012-01-21,18040001,10.187341668429202
2012-05-16,18040001,19.190866669902075
2012-05-15,18040001,17.364083329395047
2012-11-17,18040001,13.676326824559114
2012-04-17,18040001,15.699978724122033
2012-03-27,18040001,10.912183344605618
2014-07-25,18040001,25.13547964890796
2014-04-17,18040001,19.118903696978528
2014-04-24,18040001,14.249298167394251
2014-11-05,18040001,12.783053719114372
2014-09-14,18040001,27.743975875995773
2014-01-31,18040001,11.370362036523456
2015-09-13,18040001,26.241818520757896
2015-01-05,18040001,6.49458148759592
2016-01-21,18040001,11.617590749360355
2016-10-27,18040001,18.77293610219601
2016-04-17,18040001,15.930327808194674
2016-08-09,18040001,24.208319470617518
2016-10-30,18040001,18.143237031830683
2016-01-15,18040001,7.9456453658778328
2016-10-20,18040001,15.542624998534174
2016-11-14,18040001,16.531861113618888
2016-07-16,18040001,27.193593498512556
2016-07-04,18040001,25.999854646788716
2017-10-24,18040001,17.7802972294666
2017-09-22,18040001,15.216840752628112
2017-07-11,18040001,29.189886203518622
2017-09-12,18040001,27.381915732666275
2017-01-19,18040001,7.9002490794355156
2017-03-01,18040001,7.6577259263989523
2017-09-26,18040001,18.977133315139355
2017-10-30,18040001,17.883430547184417
2017-07-17,18040001,29.331920320899364
2017-10-29,18040001,20.344877772861039
2017-10-20,18040001,17.027082419836955
2017-05-04,18040001,24.738842622439044
2018-09-13,18040001,20.121352780748285
2018-08-10,18040001,27.958029610139345
2018-12-15,18040001,9.9128462763848155
2018-06-06,18040001,21.159307395528838
2018-04-03,18040001,16.242370375218226
2018-07-20,18040001,29.589661146093285
